signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),FOM,PROM,0.00000000e+00,3.73000000e+01,3.10582087e-06,1.08780000e-05,5.31576374e-04,5.31576374e-02
Drag (Lx),FOM,HPROM,0.00000000e+00,1.50000000e+02,7.74184460e-06,1.53570000e-05,1.17497274e-03,1.17497274e-01
Lift (Lz),FOM,PROM,0.00000000e+00,3.73000000e+01,6.18065502e-06,2.31882000e-05,2.46960076e-02,2.46960076e+00
Lift (Lz),FOM,HPROM,0.00000000e+00,1.50000000e+02,1.71309190e-05,5.81488000e-05,1.73800280e-02,1.73800280e+00
Probe Pressure,FOM,PROM,0.00000000e+00,3.73000000e+01,2.76279295e-03,1.07100000e-02,1.55764828e-04,1.55764828e-02
Probe Pressure,FOM,HPROM,0.00000000e+00,1.50000000e+02,2.76797825e-03,9.96000000e-03,1.56180010e-04,1.56180010e-02
Probe Velocity X,FOM,PROM,0.00000000e+00,3.73000000e+01,8.28044491e-03,3.41971000e-02,2.71352093e-02,2.71352093e+00
Probe Velocity X,FOM,HPROM,0.00000000e+00,1.50000000e+02,7.52258235e-03,2.45776000e-02,1.16913169e-02,1.16913169e+00
Probe Velocity Z,FOM,PROM,0.00000000e+00,3.73000000e+01,7.66623075e-03,2.46441000e-02,2.87891317e-02,2.87891317e+00
Probe Velocity Z,FOM,HPROM,0.00000000e+00,1.50000000e+02,1.30823144e-02,3.76513000e-02,3.41641174e-02,3.41641174e+00
